trade_date,run_key,pair_name,spot_symbol,future_symbol,entry_threshold_pct,min_effective_tick_multiple,spot_order_qty,future_order_qty,future_pnl_multiplier,daily_config_path
2026-05-21,2026-05-21::1303_CAFE6,1303_CAFE6,1303,CAFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2324_CGFE6,2324_CGFE6,2324,CGFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2409_CHFE6,2409_CHFE6,2409,CHFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::1605_CSFF6,1605_CSFF6,1605,CSFF6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2408_CYFE6,2408_CYFE6,2408,CYFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2603_CZFE6,2603_CZFE6,2603,CZFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2609_DAFF6,2609_DAFF6,2609,DAFF6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2317_DHFE6,2317_DHFE6,2317,DHFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::2337_DIFE6,2337_DIFE6,2337,DIFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
2026-05-21,2026-05-21::3481_DQFE6,3481_DQFE6,3481,DQFE6,0.013,2.0,2000,1,2000,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json
