symbol,future_symbol,open,high,low,close,volume,trades,first_time,last_time,month,underlying_symbol,stock_name,unit,symbol_StockDaily,StopDayTrade,volume_StockDaily,trades_StockDaily,amount,Open,Close,High,Low,Change
CAFE6,CA,81.60000000000001,82.7,80.0,81.0,2028,833,2026-05-20 08:45:00.135,2026-05-20 13:29:57.562,E,1303,?n??,2000.0,1303,X,45033101.0,24177.0,3659626834.0,82.3,80.8,82.8,80.4,0.9
CGFE6,CG,27.900000000000002,28.1,27.5,27.6,2670,824,2026-05-20 08:47:50.780,2026-05-20 13:29:39.237,E,2324,???_,2000.0,2324,X,39871994.0,19240.0,1102303151.0,27.6,27.6,27.9,27.5,0.2
CHFE6,CH,19.25,19.25,18.55,18.85,2287,909,2026-05-20 08:45:00.030,2026-05-20 13:29:57.224,E,2409,??F,2000.0,2409,X,118262550.0,32463.0,2231386247.0,19.25,18.75,19.3,18.6,0.4
CSFF6,CS,33.5,33.85,32.95,33.75,1362,518,2026-05-20 08:47:16.743,2026-05-20 13:44:54.824,F,1605,??s,2000.0,1605,X,21555068.0,10687.0,714825971.0,33.5,33.1,33.75,32.85,0.3
CYFE6,CY,275.5,287.0,265.5,273.0,7123,2401,2026-05-20 08:45:00.029,2026-05-20 13:29:41.052,E,2408,?n???,2000.0,2408,X,123868197.0,95865.0,34285119840.0,279.5,275.0,285.0,265.5,0.5
CZFE6,CZ,198.0,215.5,198.0,213.0,1871,616,2026-05-20 08:45:00.030,2026-05-20 13:29:37.437,E,2603,???a,2000.0,2603,X,48098610.0,29948.0,10199885739.0,210.0,212.5,216.5,207.0,15.5
DAFF6,DA,50.5,50.6,49.4,50.4,1206,473,2026-05-20 09:00:19.101,2026-05-20 13:44:37.815,F,2609,????,2000.0,2609,X,23983815.0,16458.0,1202184070.0,49.95,50.3,50.8,49.45,0.8
DHFE6,DH,245.5,246.5,239.5,240.0,1943,779,2026-05-20 08:45:00.029,2026-05-20 13:29:59.013,E,2317,?E??,2000.0,2317,X,62650287.0,72312.0,15132372673.0,246.5,240.0,246.5,239.5,5.0
DIFE6,DI,144.5,147.0,136.5,140.5,5229,1911,2026-05-20 08:45:00.029,2026-05-20 13:29:57.747,E,2337,????,2000.0,2337,X,112446004.0,75656.0,15912864742.0,144.5,141.0,148.0,136.5,3.0
DQFE6,DQ,37.300000000000004,37.9,35.800000000000004,36.6,14108,3724,2026-05-20 08:45:18.539,2026-05-20 13:29:59.631,E,3481,?s??,2000.0,3481,X,624777587.0,184182.0,23006794526.0,37.8,36.95,38.0,36.0,0.5
DXFF6,DX,133.5,136.5,133.0,134.0,1506,589,2026-05-20 08:45:49.931,2026-05-20 13:44:40.211,F,3231,?n??,2000.0,3231,X,20642900.0,15549.0,2751866626.0,134.0,132.5,135.5,132.0,0.0
